Date,Daily Rainfall Total (mm),Highest  30-min Rainfall (mm),Highest  60-min Rainfall (mm),Highest 120-min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h),year,month
2 Jan,0,—,—,—,27.3,30.8,25,6.3,26.6,2012,January
3 Jan,0,—,—,—,27.2,30.2,25.1,7.1,27.7,2012,January
4 Jan,0,—,—,—,27,31.2,24.3,6.5,25.6,2012,January
5 Jan,0,—,—,—,27,30.5,24.2,7.4,28.8,2012,January
6 Jan,0,—,—,—,27.2,31.3,24.3,7.7,29.9,2012,January
7 Jan,2.6,—,—,—,27,31.1,24.7,7.9,30.2,2012,January
8 Jan,29.2,—,—,—,25,27.2,24.2,5.7,27.7,2012,January
9 Jan,1.8,—,—,—,25.6,28.2,24,5.4,28.1,2012,January
10 Jan,3.4,—,—,—,25.3,27.5,24.2,5.6,23,2012,January
11 Jan,4.2,—,—,—,26.1,28,24.3,6.2,29.5,2012,January
12 Jan,0,—,—,—,26,29.2,24,5.9,30.2,2012,January
13 Jan,0,—,—,—,26.5,30.4,23.5,5.9,29.2,2012,January
14 Jan,11.2,—,—,—,27,32,24.1,3.3,13.3,2012,January
15 Jan,0,—,—,—,27.5,33.5,23,4.1,30.6,2012,January
16 Jan,2.8,—,—,—,27.7,32,25.4,3.5,18.7,2012,January
17 Jan,5,—,—,—,27.5,31.8,25.7,3.3,18.4,2012,January
18 Jan,1.8,—,—,—,26.8,30.2,24.7,3.3,15.8,2012,January
19 Jan,1,—,—,—,27.2,32.2,24.9,3.3,19.8,2012,January
20 Jan,1.4,—,—,—,25.5,31.2,22.9,3.5,39.6,2012,January
21 Jan,1.2,—,—,—,26.2,31.9,23.3,3.4,21.6,2012,January
22 Jan,4.8,—,—,—,26.6,32.1,24,3.5,21.6,2012,January
23 Jan,6,—,—,—,25.6,31.8,23.6,4.1,28.1,2012,January
24 Jan,0,—,—,—,26.1,29.4,23.4,5.7,25.9,2012,January
25 Jan,0,—,—,—,27.3,31.5,24.4,7,28.1,2012,January
26 Jan,0,—,—,—,27,29.9,25,6.8,29.2,2012,January
27 Jan,0.4,—,—,—,26.9,31.4,24.3,5.8,26.6,2012,January
28 Jan,0,—,—,—,26.2,28.7,24.1,5.2,20.9,2012,January
29 Jan,4.4,—,—,—,26.7,32.1,23.8,3.9,20.2,2012,January
30 Jan,0.4,—,—,—,27.1,32,24.4,5,19.1,2012,January
31 Jan,0.6,—,—,—,26.5,30.8,22.6,5.6,25.9,2012,January
2 Feb,28.4,—,—,—,25.6,31,23.1,4.8,33.5,2012,February
3 Feb,17.4,—,—,—,24.6,27.7,23.5,3.5,65.5,2012,February
4 Feb,0,—,—,—,26.2,29.1,23.4,5.8,27.4,2012,February
5 Feb,0,—,—,—,27.4,31.1,24.5,6.3,23.4,2012,February
6 Feb,0,—,—,—,27.1,31.3,24.2,6,24.8,2012,February
7 Feb,0,—,—,—,26.9,31.9,23.9,5.1,30.2,2012,February
8 Feb,0,—,—,—,26.9,32.2,23.5,5.2,21.6,2012,February
9 Feb,0,—,—,—,26.4,30.9,22.4,5.8,25.6,2012,February
