Day,Date,Daily Rainfall Total (mm),Highest30-min Rainfall (mm),Highest60-min Rainfall (mm),Highest120-min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h),year,month
1,01 January 2022,-,-,-,-,-,-,-,-,-,2022,January
2,02 January 2022,-,-,-,-,-,-,-,-,-,2022,January
3,03 January 2022,-,-,-,-,-,-,-,-,-,2022,January
4,04 January 2022,-,-,-,-,-,-,-,-,-,2022,January
5,05 January 2022,4,3.8,3.8,3.8,27.1,32.7,24.5,4.8,18.3,2022,January
6,06 January 2022,0,0,0,0,27.7,32.6,24.7,6.5,29.4,2022,January
7,07 January 2022,0,0,0,0,27.4,32.1,24,5.7,23.7,2022,January
8,08 January 2022,0,0,0,0,27.3,30.8,24.9,6.5,25.6,2022,January
9,09 January 2022,0,0,0,0,27.6,31.6,24.7,7.2,28.2,2022,January
10,10 January 2022,0,0,0,0,27.2,31.5,24.9,8,29.1,2022,January
11,11 January 2022,0,0,0,0,27,31.1,23.8,6.8,26.7,2022,January
12,12 January 2022,0,0,0,0,27.1,31.2,24.6,8.2,27.8,2022,January
13,13 January 2022,0,0,0,0,26.8,31.5,23.3,7.8,28.5,2022,January
14,14 January 2022,0,0,0,0,26.8,31.6,23.5,7.8,30.2,2022,January
15,15 January 2022,0,0,0,0,27.2,31.7,24.6,7.4,25.2,2022,January
16,16 January 2022,0,0,0,0,27.5,30.9,25,8.1,25.2,2022,January
17,17 January 2022,6.2,6.2,6.2,6.2,27.2,30.5,25,8.1,27.8,2022,January
18,18 January 2022,0,0,0,0,27.3,31.3,25.1,8.4,30.6,2022,January
19,19 January 2022,3.8,3.2,3.8,3.8,26.5,30.4,24.2,6.5,26.7,2022,January
20,20 January 2022,1,1,1,1,26.6,30.6,24,5,22.6,2022,January
21,21 January 2022,0,0,0,0,27,31.4,23.8,7.5,28.2,2022,January
22,22 January 2022,0,0,0,0,27.1,32,23.8,5.8,24.1,2022,January
23,23 January 2022,0,0,0,0,26.8,31.8,23.3,4.4,22,2022,January
