,year,month,Daily Rainfall Total (mm),Highest  30-min Rainfall (mm),Highest  60-min Rainfall (mm),Highest 120-min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h),day,wet_bulb_temperature,Max-Min Temperature,mean_sunshine_hrs,mean_rh
0,2014,3,2.7,1.769230769,1.938461538,2.369230769,27.13461538,32.01538462,24.03846154,5.073076923,25.33846154,18.5,24.69054487,7.976923077,8,76
1,2014,4,3.993103448,2.524137931,2.931034483,3.275862069,27.44827586,32.65517241,24.68965517,3.179310345,22.60344828,16,25.46163793,7.965517241,5.7,80
2,2014,5,4.883333333,3.143333333,3.51,3.726666667,27.95666667,33.09666667,25.15333333,3.166666667,22.74333333,16.5,25.82486111,7.943333333,5.8,80.2
3,2014,6,3.320689655,2.537931034,2.789655172,2.872413793,28.42068966,33.03103448,25.26896552,3.262068966,27.16551724,16,25.8862069,7.762068966,6,77.5
4,2014,7,4.466666667,3.566666667,4.08,4.286666667,28.02,32.53666667,25.04333333,3.5,30.51666667,16.5,25.72611111,7.493333333,5.5,78.3
5,2014,8,5.906666667,4.086666667,4.96,5.333333333,26.99333333,31.31,24.59,3.396666667,37.02666667,16.5,24.91791667,6.72,4.5,79.7
6,2014,9,5.034482759,4.013793103,4.468965517,4.772413793,27.80344828,32.46206897,24.80344828,3.910344828,26.85517241,16,25.09612069,7.65862069,7,75.6
7,2014,10,3.84,2.773333333,3.273333333,3.446666667,27.74333333,32.62333333,24.90333333,3.896666667,23.31333333,16.5,25.1575,7.72,6,77
8,2014,11,9.020689655,6.489655172,7.337931034,7.75862069,27.00689655,31.74482759,24.61034483,4.665517241,25.55862069,16,25.08477011,7.134482759,5.4,82.4
9,2014,12,8.713333333,4.98,5.666666667,7.126666667,26.59333333,30.51333333,24.45666667,6.766666667,26.92333333,16.5,24.73027778,6.056666667,3.7,82.6
10,2015,1,2.873333333,1.833333333,1.933333333,2.133333333,26.34666667,30.36,23.9,9.483333333,29.11666667,16.5,23.83777778,6.46,7.4,77.6
11,2015,2,1.339130435,0.965217391,1.173913043,1.269565217,26.47391304,30.74782609,23.59130435,9.704347826,30.15652174,15.60869565,23.84456522,7.156521739,7.3,75.4
12,2015,3,2.946666667,1.926666667,2.313333333,2.46,27.34333333,32.02333333,24.43333333,7.58,27.34666667,16.5,24.76388889,7.59,7.3,75.8
13,2015,4,3.289655172,2.482758621,2.710344828,2.931034483,27.78275862,33.01034483,24.90689655,7.048275862,27.40344828,16,25.37988506,8.103448276,7.2,77.1
14,2015,5,6.333333333,4.993333333,5.593333333,5.966666667,27.99333333,32.79,25.42,6.706666667,28.24666667,16.5,25.81722222,7.37,5.8,78.9
15,2015,6,1.682758621,0.855172414,1.04137931,1.35862069,28.32758621,32.73448276,25.65172414,7.4,25.56896552,16,25.58462644,7.082758621,6.7,75.8
16,2015,7,2.486666667,2.14,2.326666667,2.453333333,28.45333333,32.83,25.51333333,7.95,29.27333333,16.5,25.55152778,7.316666667,7.1,74.9
17,2015,8,5.986666667,3.646666667,4.913333333,5.473333333,27.83333333,32.01,25.22333333,8.37,29.47666667,16.5,25.20916667,6.786666667,6.1,76.7
18,2015,9,1.717241379,1.082758621,1.282758621,1.475862069,27.86551724,32.32758621,24.9862069,7.675862069,26.67586207,16,25.19281609,7.34137931,4.3,75
19,2015,10,2.8,1.773333333,2.113333333,2.313333333,27.84666667,32.61,24.76666667,7.613333333,25.57,16.5,25.20152778,7.843333333,4.7,75.4
20,2015,11,2.551724138,1.75862069,1.896551724,2.351724138,27.13103448,32.17931034,24.5137931,8.306896552,26.38275862,16,25.10732759,7.665517241,4.8,79.1
21,2015,12,8.166666667,4.426666667,5.226666667,5.853333333,26.98333333,31.5,24.26666667,9.116666667,30.43,16.5,25.13305556,7.233333333,5.3,81.1
22,2016,1,3.48,1.973333333,2.686666667,3.133333333,27.63,31.77333333,24.94,9.993333333,31.34333333,16.5,25.47708333,6.833333333,7.2,79.6
23,2016,2,6.911111111,2.57037037,3.377777778,4.437037037,27.18148148,30.68518519,24.58888889,11.08148148,34.05555556,15,24.925,6.096296296,6.5,78.8
24,2016,3,0.993333333,0.76,0.84,0.846666667,28.10666667,32.6,25.13,10.39666667,31.76333333,16.5,25.42,7.47,8,74.7
25,2016,4,1.344827586,1.075862069,1.268965517,1.303448276,28.68965517,34.25172414,25.54827586,9.448275862,30.27241379,16,25.97198276,8.703448276,7,75.6
26,2016,5,4.846666667,3.606666667,4.093333333,4.493333333,28.47,33.84333333,25.44666667,9.413333333,29.67,16.5,26.08347222,8.396666667,6.2,77.4
27,2016,6,8.62962963,5.222222222,6.696296296,7.607407407,27.64814815,32.29259259,24.91851852,8.718518519,29.86296296,17,25.40694444,7.374074074,5.4,77.7
28,2016,7,11.13636364,7.018181818,8.690909091,9.518181818,27.65909091,32.51363636,24.65454545,8.659090909,31.34545455,12.59090909,25.36477273,7.859090909,6.3,77.3
29,2016,8,3.0125,1.9,2.6875,2.8875,28.16875,32.76875,25.29375,8.475,29.7875,17.4375,25.37760417,7.475,6.7,74
30,2016,9,3.503448276,2.151724138,2.827586207,3.103448276,27.58275862,32.78275862,24.0862069,8.4,32.81724138,16,24.60675287,8.696551724,5.5,73.9
31,2016,10,6.073333333,4.206666667,5.093333333,5.313333333,27.47666667,32.10333333,24.26666667,8.403333333,30.23333333,16.5,24.37138889,7.836666667,4.6,72
32,2016,11,7.806896552,4.806896552,6.117241379,7.137931034,26.82068966,31.10344828,24.22413793,8.382758621,28.75517241,16,24.33591954,6.879310345,3.5,77.6
33,2016,12,6.906666667,4.506666667,5.493333333,6.02,26.81666667,31.57333333,24.06666667,8.043333333,29.90666667,16.5,23.54875,7.506666667,5.1,72.8
34,2017,1,6.965517241,2.84137931,3.455172414,4.220689655,26.51724138,30.72068966,24.11724138,8.362068966,29.82068966,16.68965517,24.86652299,6.603448276,4.8,84.8
35,2017,2,8.62962963,4.644444444,5.985185185,7.496296296,26.47407407,30.67037037,23.91111111,9.451851852,32.66666667,15,24.69598765,6.759259259,7.1,83.2
36,2017,3,4.066666667,2.2,2.76,3.24,26.93333333,31.41333333,24.12,8.236666667,29.3,16.5,25.01944444,7.293333333,6.1,82.5
37,2017,4,6.37037037,4.303703704,5.22962963,5.896296296,27.2037037,32.28148148,24.22962963,7.074074074,28.47037037,15,25.53580247,8.051851852,5.3,83.5
38,2017,5,6.99,4.63,5.66,6.49,27.97,32.6,25.225,7.43,29.46,15.55,26.20604167,7.375,5.9,82.8
39,2017,6,2.422222222,1.733333333,2.288888889,2.377777778,28.2,32.71111111,25.16666667,7.133333333,27.83333333,13.77777778,25.79583333,7.544444444,6.3,80.2
40,2017,7,3.856,2.488,3.024,3.352,27.772,32.048,24.98,7.308,28.48,18.8,25.56133333,7.068,7,79.6
41,2017,8,4.08,2.546666667,3.073333333,3.413333333,27.44333333,31.62666667,24.98666667,7.26,29.30333333,16.5,25.35694444,6.64,6.1,79.9
42,2017,9,5.096551724,3.951724138,4.227586207,4.455172414,27.22758621,32.02413793,24.51724138,6.755172414,29.60344828,16,25.36479885,7.506896552,5.7,81
43,2017,10,5.57037037,4.051851852,4.977777778,5.222222222,27.47037037,32.52962963,24.44074074,7.32962963,28.47037037,15.22222222,25.53533951,8.088888889,5.5,82.5
44,2017,11,17.9,10.05,11.05,16.5,27.3,32.8,24.075,6.725,26.275,3.5,25.39270833,8.725,4.2,86.3
45,2017,12,14.47586207,7.413793103,10.07586207,11.23448276,26.55517241,30.88965517,24.05172414,9.413793103,34.64482759,16.82758621,24.99583333,6.837931034,5.6,85.2
46,2018,1,9.442857143,4.707142857,6.028571429,6.85,25.74642857,29.91785714,23.41428571,10.53571429,33.225,16.64285714,24.46755952,6.503571429,4.1,86.6
47,2018,2,0.792592593,0.237037037,0.296296296,0.444444444,26.43703704,30.41851852,23.51111111,13.45925926,40.35555556,15,24.01635802,6.907407407,8,77.2
48,2018,3,2.572413793,1.234482759,1.593103448,2.04137931,27.16551724,31.95517241,24.14137931,13.14827586,39.74137931,17,24.94554598,7.813793103,6.4,78.4
49,2018,4,4.020689655,2.689655172,3.331034483,3.910344828,27.67586207,32.84137931,24.6137931,15.17586207,41.30689655,16,25.47600575,8.227586207,6.8,78.5
50,2018,5,4.2,2.6,3.21,3.77,28.18,33.33,25.25,16.53,44.37,12.2,25.77145833,8.08,5.8,79
51,2018,6,8.97037037,5.214814815,6.718518519,7.318518519,27.37777778,31.66296296,24.48518519,16.51111111,41.03703704,16.92592593,25.55540123,7.177777778,4.1,79.3
52,2018,7,4.146666667,3.02,3.826666667,4.053333333,27.79333333,31.99666667,24.88333333,18.47333333,43.88333333,16.5,25.41930556,7.113333333,6.1,77.7
53,2018,8,4.333333333,3.146666667,3.553333333,3.673333333,27.90333333,32.52333333,25.05,21.74666667,43.67,16.5,25.34916667,7.473333333,6.7,77
54,2018,9,3.3875,2.6625,3.125,3.35,27.2125,32.15,24.1875,20.6375,39.54375,18.1875,24.9140625,7.9625,6,77.1
55,2018,10,17.49090909,8.6,11.61818182,14.47272727,27.40909091,32.60909091,24.6,20.66363636,33.50909091,7,25.08712121,8.009090909,6.1,79.7
56,2018,11,20.8,9.4,17.6,20.6,26.4,30.7,22.5,15.5,27.7,17,24.99583333,8.2,3.8,83.2
57,2019,1,3.166666667,1.366666667,1.693333333,1.993333333,27.43,31.50333333,24.67,14.94666667,43.15333333,16.5,24.61069444,6.833333333,7.1,75.6
58,2019,2,1.014814815,0.762962963,0.844444444,0.918518519,27.49259259,32.45925926,24.11111111,21.03703704,52.62962963,15,24.58009259,8.348148148,9.2,74.1
59,2019,3,2.620689655,2.172413793,2.517241379,2.613793103,27.9,33.27586207,24.16896552,16.46206897,43.51034483,16.65517241,24.75991379,9.106896552,8.3,72.3
60,2019,4,3.111111111,2.222222222,2.577777778,2.733333333,28.42222222,33.63333333,25.01111111,20.72222222,48.92222222,12.22222222,25.55092593,8.622222222,5.9,77.6
61,2019,10,8.2,5.022222222,6.266666667,6.977777778,27.14444444,32.37777778,24.45555556,3.266666667,19.55555556,27,25.04814815,7.922222222,6.5,78.1
62,2019,11,3.275862069,2.234482759,2.455172414,2.772413793,27.25172414,32.57586207,24.49310345,3.55862069,21.38275862,16,25.15287356,8.082758621,5.5,79.2
63,2019,12,11.70434783,3.408695652,4.765217391,6.530434783,26.7,30.48695652,24.22608696,5.965217391,26.55652174,17.04347826,24.64547101,6.260869565,4.8,83.9
64,2020,1,4.453333333,2.106666667,2.686666667,3.466666667,27.31,31.58,24.57,6.753333333,26.78333333,16.5,24.69222222,7.01,7.1,77.9
65,2020,2,2.777777778,1.607407407,1.925925926,1.940740741,27.34814815,31.4962963,24.46666667,6.940740741,27.22592593,15,24.54104938,7.02962963,8.3,76
66,2020,3,5.08,3.253333333,4.366666667,4.713333333,27.93,32.99666667,24.71666667,5.016666667,22.99333333,16.5,25.15222222,8.28,7.6,75.2
67,2020,4,6.335714286,4.478571429,5.064285714,5.478571429,28.03214286,33.18214286,24.90714286,3.628571429,22.6,15.57142857,25.52083333,8.275,7.1,76.4
68,2020,5,10.46,8.66,9.64,9.96,28.22,33.33,25.44,3.02,23.06,11.6,26.07416667,7.89,5.7,79.1
69,2020,6,6.973333333,4.32,5.106666667,5.826666667,27.41333333,31.44,24.96666667,3.36,22.72,19.8,25.47722222,6.473333333,4.3,80.2
70,2020,7,3.84137931,2.324137931,2.655172414,2.875862069,27.29310345,31.83103448,24.78275862,3.355172414,21.72068966,16.51724138,24.99985632,7.048275862,5.7,78.2
71,2020,8,4.953333333,3.306666667,3.966666667,4.393333333,27.68,32.16333333,24.88666667,3.676666667,23.02,16.5,25.11861111,7.276666667,6.4,76.8
72,2020,9,6.434482759,4.172413793,4.889655172,5.544827586,26.87931034,31.7,24.15172414,3.34137931,24.32758621,16,24.69712644,7.548275862,4.8,79
73,2020,10,2.993103448,2.331034483,2.593103448,2.765517241,27.70689655,32.27241379,24.72413793,3.789655172,23.47931034,16.10344828,24.89885057,7.548275862,4.3,75.4
74,2020,11,8.028571429,4.3,5.414285714,6.378571429,26.69642857,31.13571429,24.32142857,3.260714286,21.00714286,15.5,24.8046131,6.814285714,4,81.7
75,2020,12,7.847619048,5.342857143,6.247619048,6.714285714,26.6047619,31.0952381,23.77619048,4.39047619,22.37142857,21,24.55277778,7.319047619,5.2,81.1
76,2021,1,11.88888889,3.614814815,4.844444444,5.77037037,25.77037037,29.44444444,23.42962963,6.362962963,26.38518519,17.40740741,23.74166667,6.014814815,4.2,82.6
77,2021,2,0.162962963,0.155555556,0.162962963,0.162962963,26.85555556,31.5,23.93333333,7.381481481,27.48148148,15,23.72561728,7.566666667,8.2,73.8
78,2021,3,5.306666667,3.433333333,4.193333333,4.733333333,27.23666667,32.59666667,24.04666667,5.166666667,25.65666667,16.5,24.69055556,8.55,7.3,76.6
79,2021,4,9.779310345,5.020689655,7.110344828,7.848275862,27.45517241,32.86551724,24.32413793,3.475862069,21.65172414,16,25.14612069,8.54137931,6.8,77.4
80,2021,5,5.448275862,2.813793103,3.489655172,3.882758621,28.07586207,32.87931034,25.34482759,3.151724138,20.52758621,16,25.86106322,7.534482759,6,79.3
81,2021,6,3.565217391,2.408695652,2.6,3.034782609,27.75217391,32.8,24.52608696,3.308695652,21.52173913,15.13043478,25.42481884,8.273913043,6.5,77.8
82,2021,7,6.903448276,3.420689655,5.075862069,5.975862069,27.88965517,32.25517241,25.12758621,3.582758621,22.70689655,16.55172414,25.36781609,7.127586207,6.8,76.5
83,2021,8,11.15517241,5.2,7.137931034,9.272413793,26.84827586,31.53448276,24.07241379,3.406896552,22.64827586,16.17241379,24.98563218,7.462068966,4.8,80.4
84,2021,9,12.26206897,7.455172414,9.95862069,11.31034483,27.32758621,32.03448276,24.3137931,3.448275862,23.01034483,16,25.21106322,7.720689655,6.4,77.3
