date,daily rainfall total (mm),highest30-min rainfall (mm),highest60-min rainfall (mm),highest120-min rainfall (mm),mean temperature (°c),maximum temperature (°c),minimum temperature (°c),mean wind speed (km/h),max wind speed (km/h),year,month_x,year ,month_num,month_y,day,0h,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h
01 January 2022,-,-,-,-,-,-,-,-,-,2022,January,2022,1,January,1,2.3,1.9,1.6,1.5,1.5,1.6,1.9,2.3,2.8,3.2,3.2,2.9,2.4,1.8,1.3,0.8,0.6,0.6,0.7,1,1.5,2.1,2.5,2.7
02 January 2022,-,-,-,-,-,-,-,-,-,2022,January,2022,1,January,2,2.6,2.4,2.0,1.6,1.5,1.5,1.6,2.0,2.5,3.0,3.3,3.2,2.9,2.4,1.7,1.1,0.7,0.4,0.4,0.6,1.0,1.6,2.2,2.6
03 January 2022,-,-,-,-,-,-,-,-,-,2022,January,2022,1,January,3,2.8,2.7,2.4,1.9,1.6,1.4,1.5,1.7,2.1,2.6,3.2,3.4,3.3,2.9,2.3,1.6,1.0,0.6,0.3,0.3,0.5,1.0,1.7,2.3
04 January 2022,-,-,-,-,-,-,-,-,-,2022,January,2022,1,January,4,2.7,2.8,2.7,2.3,1.9,1.5,1.4,1.5,1.7,2.2,2.8,3.3,3.5,3.3,2.9,2.2,1.5,0.9,0.5,0.3,0.3,0.6,1.0,1.9
05 January 2022,4,3.8,3.8,3.8,27.1,32.7,24.5,4.8,18.3,2022,January,2022,1,January,5,2.4,2.7,2.8,2.6,2.2,1.8,1.5,1.4,1.5,1.8,2.3,3.0,3.4,3.5,3.2,2.8,2.1,1.4,0.8,0.5,0.3,0.4,0.7,1.3
06 January 2022,0,0,0,0,27.7,32.6,24.7,6.5,29.4,2022,January,2022,1,January,6,2.0,2.5,2.8,2.8,2.5,2.1,1.7,1.4,1.4,1.5,1.8,2.4,3.1,3.4,3.4,3.1,2.6,1.9,1.3,0.8,0.5,0.4,0.5,0.9
07 January 2022,0,0,0,0,27.4,32.1,24,5.7,23.7,2022,January,2022,1,January,7,1.6,2.2,2.6,2.8,2.7,2.4,1.9,1.6,1.4,1.4,1.5,1.9,2.5,3.1,3.3,3.3,2.9,2.4,1.7,1.2,0.8,0.6,0.6,0.7
08 January 2022,0,0,0,0,27.3,30.8,24.9,6.5,25.6,2022,January,2022,1,January,8,1.2,1.9,2.4,2.6,2.7,2.6,2.2,1.8,1.5,1.4,1.4,1.6,2.0,2.5,3.0,3.1,3.0,2.7,2.1,1.6,1.2,0.9,0.7,0.8
09 January 2022,0,0,0,0,27.6,31.6,24.7,7.2,28.2,2022,January,2022,1,January,9,1.0,1.5,2.1,2.4,2.6,2.6,2.4,2.1,1.7,1.5,1.4,1.4,1.6,2.0,2.4,2.7,2.8,2.7,2.4,2,1.5,1.2,1.0,1.0
10 January 2022,0,0,0,0,27.2,31.5,24.9,8,29.1,2022,January,2022,1,January,10,1.0,1.3,1.8,2.2,2.5,2.6,2.6,2.3,2.0,1.7,1.5,1.4,1.4,1.6,1.9,2.2,2.4,2.5,2.4,2.2,1.9,1.6,1.3,1.2
11 January 2022,0,0,0,0,27,31.1,23.8,6.8,26.7,2022,January,2022,1,January,11,1.2,1.3,1.6,1.9,2.3,2.5,2.6,2.5,2.3,2.0,1.7,1.5,1.4,1.4,1.5,1.7,1.9,2.1,2.2,2.2,2.0,1.9,1.7,1.5
12 January 2022,0,0,0,0,27.1,31.2,24.6,8.2,27.8,2022,January,2022,1,January,12,1.4,1.4,1.5,1.8,2.1,2.3,2.5,2.6,2.5,2.3,2.0,1.7,1.5,1.3,1.3,1.3,1.4,1.6,1.8,2,2.1,2.0,1.9,1.8
13 January 2022,0,0,0,0,26.8,31.5,23.3,7.8,28.5,2022,January,2022,1,January,13,1.7,1.6,1.6,1.7,1.9,2.1,2.4,2.6,2.6,2.5,2.3,2.0,1.7,1.4,1.2,1.1,1.1,1.2,1.4,1.7,1.9,2.1,2.1,2.1
14 January 2022,0,0,0,0,26.8,31.6,23.5,7.8,30.2,2022,January,2022,1,January,14,1.9,1.7,1.6,1.6,1.7,1.9,2.2,2.5,2.7,2.7,2.6,2.3,2.0,1.6,1.2,1.0,0.9,0.9,1.0,1.4,1.7,2.0,2.2,2.3
15 January 2022,0,0,0,0,27.2,31.7,24.6,7.4,25.2,2022,January,2022,1,January,15,2.1,1.9,1.7,1.6,1.6,1.7,1.9,2.3,2.6,2.8,2.8,2.6,2.3,1.8,1.4,1.0,0.8,0.8,0.8,1,1.4,1.9,2.2,2.4
16 January 2022,0,0,0,0,27.5,30.9,25,8.1,25.2,2022,January,2022,1,January,16,2.4,2.2,1.9,1.7,1.6,1.6,1.7,2.0,2.4,2.8,2.9,2.9,2.6,2.2,1.7,1.2,0.9,0.7,0.7,0.8,1.2,1.6,2.1,2.4
17 January 2022,6.2,6.2,6.2,6.2,27.2,30.5,25,8.1,27.8,2022,January,2022,1,January,17,2.5,2.4,2.1,1.8,1.6,1.5,1.5,1.8,2.2,2.6,2.9,3.0,2.9,2.5,2.0,1.5,1.0,0.7,0.6,0.7,0.9,1.4,1.9,2.3
18 January 2022,0,0,0,0,27.3,31.3,25.1,8.4,30.6,2022,January,2022,1,January,18,2.6,2.6,2.3,2.0,1.6,1.4,1.4,1.6,1.9,2.3,2.8,3.1,3.1,2.8,2.4,1.8,1.2,0.8,0.6,0.6,0.7,1.0,1.7,2.2
19 January 2022,3.8,3.2,3.8,3.8,26.5,30.4,24.2,6.5,26.7,2022,January,2022,1,January,19,2.5,2.6,2.5,2.2,1.8,1.5,1.4,1.4,1.6,2.1,2.6,3.0,3.2,3.1,2.7,2.1,1.5,1.0,0.7,0.6,0.6,0.9,1.4,2.0
20 January 2022,1,1,1,1,26.6,30.6,24,5,22.6,2022,January,2022,1,January,20,2.4,2.7,2.7,2.4,2.0,1.6,1.4,1.3,1.5,1.8,2.3,2.9,3.2,3.2,2.9,2.5,1.9,1.3,0.8,0.6,0.5,0.7,1.0,1.7
21 January 2022,0,0,0,0,27,31.4,23.8,7.5,28.2,2022,January,2022,1,January,21,2.3,2.6,2.7,2.6,2.2,1.8,1.4,1.3,1.3,1.5,2.0,2.5,3.1,3.3,3.1,2.8,2.2,1.6,1.0,0.7,0.6,0.6,0.9,1.4
22 January 2022,0,0,0,0,27.1,32,23.8,5.8,24.1,2022,January,2022,1,January,22,2.1,2.5,2.7,2.7,2.5,2.0,1.6,1.3,1.2,1.3,1.7,2.2,2.7,3.1,3.2,3.0,2.5,1.9,1.3,0.9,0.6,0.6,0.8,1.2
23 January 2022,0,0,0,0,26.8,31.8,23.3,4.4,22,2022,January,2022,1,January,23,1.8,2.3,2.7,2.7,2.6,2.3,1.8,1.4,1.2,1.2,1.4,1.8,2.3,2.8,3.1,3.0,2.7,2.2,1.6,1.1,0.8,0.7,0.7,1.0
24 January 2022,0,0,0,0,27,32.9,23.4,4,18.7,2022,January,2022,1,January,24,1.5,2.1,2.5,2.8,2.7,2.5,2.1,1.6,1.3,1.2,1.2,1.5,1.8,2.3,2.8,2.9,2.8,2.5,2.0,1.4,1.0,0.8,0.8,1.0
