month,total_rainfall,no_of_rainy_days,maximum_rainfall_in_a_day,mean_rh,mean_sunshine_hrs,new_month,year
1982-01,107.1,10,36.5,81.2,5.6,01,1982
1982-02,27.8,5,9.4,79.5,7.6,02,1982
1982-03,160.8,11,61.7,82.3,5.1,03,1982
1982-04,157.0,14,45.1,85.9,4.7,04,1982
1982-05,102.2,10,33.0,83.2,5.8,05,1982
1982-06,59.5,8,20.6,80.3,7.3,06,1982
1982-07,76.3,8,17.2,77.6,7.6,07,1982
1982-08,169.5,11,57.7,80.4,5.4,08,1982
1982-09,54.1,9,18.0,80.6,5.2,09,1982
1982-10,39.3,10,10.0,81.5,5.6,10,1982
1982-11,134.0,13,39.6,83.4,5.8,11,1982
1982-12,494.1,21,109.0,87.7,3.3,12,1982
1983-01,246.0,18,43.2,85.6,4.3,01,1983
1983-02,5.6,2,5.1,78.0,9.3,02,1983
1983-03,18.6,2,18.3,76.0,8.9,03,1983
1983-04,33.6,4,21.3,77.2,6.6,04,1983
1983-05,160.8,11,32.3,83.2,5.9,05,1983
1983-06,94.0,11,27.7,82.4,5.9,06,1983
1983-07,190.0,18,55.5,83.7,5.4,07,1983
1983-08,262.2,10,181.8,81.2,6.3,08,1983
1983-09,170.8,18,50.3,84.4,3.8,09,1983
1983-10,212.7,17,40.0,82.5,5.2,10,1983
1983-11,228.8,18,54.8,85.2,3.2,11,1983
1983-12,370.6,16,164.4,88.0,2.7,12,1983
1984-01,251.2,18,62.3,85.8,4.1,01,1984
1984-02,470.4,19,154.4,86.0,4.1,02,1984
1984-03,361.3,19,119.4,85.4,5.3,03,1984
1984-04,153.1,17,38.7,83.8,6.2,04,1984
1984-05,186.5,12,46.0,84.1,6.4,05,1984
1984-06,255.0,14,121.1,83.1,5.4,06,1984
1984-07,127.2,12,49.2,83.7,5.7,07,1984
1984-08,102.7,13,22.5,84.1,6.0,08,1984
1984-09,186.7,17,46.5,83.9,4.9,09,1984
1984-10,187.5,11,47.2,82.5,5.3,10,1984
1984-11,127.7,17,35.4,86.3,4.3,11,1984
1984-12,277.4,22,58.4,86.7,3.3,12,1984
1985-01,111.1,7,35.5,81.5,8.7,01,1985
1985-02,79.3,11,18.7,84.0,6.5,02,1985
1985-03,88.0,13,23.8,83.9,5.6,03,1985
1985-04,110.5,14,29.3,83.8,5.5,04,1985
1985-05,70.1,12,36.2,83.4,5.7,05,1985
1985-06,37.0,14,9.9,79.4,5.8,06,1985
1985-07,131.8,17,32.2,83.1,5.3,07,1985
1985-08,56.9,11,21.4,80.4,6.2,08,1985
1985-09,110.7,18,22.0,83.1,5.0,09,1985
1985-10,169.0,21,30.2,84.7,4.1,10,1985
1985-11,179.4,21,38.2,85.0,4.1,11,1985
1985-12,340.1,22,86.8,86.2,4.6,12,1985
